Description,ncRNA Name,Disease,PMID,Labels
"miR-128 and miR-27b were increased in naive and miR-340 in memory CD4(+) T cells from patients with multiple sclerosis, inhibiting Th2 cell development and favouring pro-inflammatory Th1 responses.",miR-128//miR-27b,multiple sclerosis,22088562,1
Human miR-31 targets radixin and inhibits migration and invasion of glioma cells.,miR-31,glioma,22089331,1
miR-125b suppresses the proliferation and migration of osteosarcoma cells through down-regulation of STAT3.,miR-125b,osteosarcoma,22093834,1
High miR-26a and low CDC2 levels associate with decreased EZH2 expression and with favorable outcome on tamoxifen in metastatic breast cancer.,miR-26a//CDC2,breast cancer,22094936,1
miR-155 regulates HGAL expression and increases lymphoma cell motility.,miR-155,lymphoma,22096245,1
"Histone deacetylases mediate the silencing of miR-15a, miR-16 and miR-29b in chronic lymphocytic leukemia.",miR-15a//miR-16//miR-29b,chronic lymphocytic leukemia,22096249,1
"We found that miR-34a expression was down-regulated in 5 breast cancer cell lines compared with the immortalized normal mammary epithelial cell line 184A1, and was also down-regulated by almost 50 % in breast cancer samples compared with their corresponding adjacent non-malignant breast tissues.",miR-34a,breast cancer,22102859,1
The miR-143/-145 cluster regulates plasminogen activator inhibitor-1 in bladder cancer.,miR-143/-145,bladder cancer,22108519,1
"MiR-23b, which is downregulated in human colon cancer samples, potently mediates the multiple steps of metastasis, including tumour growth, invasion and angiogenesis in vivo.",MiR-23b,colon cancer,22109528,1
Establishment of a Novel Permissive Cell Line for the Propagation of Hepatitis C Virus by Expression of microRNA miR122.,miR122,Hepatitis C,22114337,1
The miRNA-17-92 cluster mediates chemoresistance and enhances tumor growth in mantle cell lymphoma via PI3K/AKT pathway activation.,miRNA-17-92,mantle cell lymphoma,22116552,1
"Increased expression of miR-21, mir-135a and miR-335 was associated with clinical progression of CRC (colorectal cancer), while miR-206 demonstrated an opposite trend.",miR-21//mir-135a//miR-335,colorectal cancer,22120675,1
"MiR-27b targets PPARgamma to inhibit growth, tumor progression and the inflammatory response in neuroblastoma cells.",MiR-27b,neuroblastoma,22120719,1
miR-1915 inhibits Bcl-2 to modulate multidrug resistance by increasing drug-sensitivity in human colorectal carcinoma cells.,mir-1915,colorectal carcinoma,22121083,1
"Silencing of miR-124 induces neuroblastoma SK-N-SH cell differentiation, cell cycle arrest and apoptosis through promoting AHR.",miR-124,neuroblastoma,22123030,1
The expression of miR-206 is increased in muscular dystrophy.,miR-206,muscular dystrophy,22129894,1
Increased serum levels of miR-1266 in patients with psoriasis vulgaris.,miR-1266,psoriasis,22133505,1
The opposite cellular effects of miR-221/222 on VSMCs and ECs may have important therapeutic applications in many vascular diseases such as atherosclerosis and restenosis after angioplasty.,miR-221/222,atherosclerosis,22138289,1
MiR-135a functions as a selective killer of malignant glioma.,MiR-135a,glioma,22139076,1
Increased miRNA-146a and miRNA-155 expressions in oral lichen planus.,miRNA-146a//miRNA-155,lichen planus,22139425,1
MiR23b Ameliorates Neuropathic Pain in Spinal Cord by Silencing NOX4.,MiR23b,Neuropathic Pain,22149086,1
"These effects of miR-30e* were shown to be clinically relevant,as miR-30e* was found to be upregulated in primary human glioma cells and correlated with malignant progression and poor survival.",miR-30e*,glioma,22156201,1
MicroRNA Profiling Identifies miR-29 as a Regulator of Disease-Associated Pathways in Experimental Biliary Atresia.,miR-29a,Biliary Atresia,22167021,1
Interferon regulatory factor 3 inhibits astrocyte inflammatory gene expression through suppression of the proinflammatory miR-155 and miR-155*.,miR-155//miR-155*,inflammatory,22170100,1
MiR-335 is Required for Differentiation of Malignant Glioma Cells Induced by Activation of cAMP/PKA Pathway.,MiR-335,Glioma,22172575,1
Novel oncogenic function of mesoderm development candidate 1 and its regulation by MiR-574-3p in bladder cancer cell lines.,MiR-574-3p,bladder cancer,22179486,1
"Schizophrenia-associated genes CSMD1, C10orf26, CACNA1C and TCF4 are miR-137 targets.",miR-137,Schizophrenia,22182936,1
"a screening of micro-RNA (miRNA) from Down's syndrome brain and peripheral tissues indicated an upregulation of a chromosome 21-encoded miRNA-155 and a decrease in the abundance of the miRNA-155 mRNA target complement factor H (CFH), an important repressor of the innate immune response.",mir-155,Down syndrome,22182977,1
miR-20a increases the metastatic potential of osteosarcoma cells by regulating Fas expression.,miR-20a,osteosarcoma,22186140,1
"Thus, the miR-200 family members participate importantly in fibrotic lung diseases and suggest that restoring miR-200 expression in the lungs may represent a novel therapeutic approach in treating pulmonary fibrotic diseases.",miR-200,lung diseases,22189082,1
"Our preliminary study suggests that miR-34a, although having a role in late tumorigenesis, does not contribute to the inherited susceptibility to cutaneous melanoma.",miR-34a,melanoma,22198089,1
"miR-20a, miR-21, miR-106a, miR-181b, miR-203, and miR-324-5p were stable in colorectal cancer archival tissue blocks.",miR-20a//miR-21//miR-106a//miR-181b//miR-203//miR-324-5p,colorectal cancer,22202009,1
miR-181a*: downregulated during human leukemic HL-60 cell differentiation induced by 4-hydroxynonenal,miR-181a*,leukemic,22209977,1
"Treatment with 1,25(OH)(2)D(3) and/or epigenetic drugs (5-Aza, TSA) reduced the miR-27b expression in three out of four melanoma cell lines.",miR-27b,melanoma,22213330,1
GATA4 expression is primarily regulated via a miR-26b-dependent post-transcriptional mechanism during cardiac hypertrophy.,miR-26b,cardiac hypertrophy,22219180,1
Expression of NPAS3 in the Human Cortex is regulated by miR-17 During Development and has Implications for Schizophrenia.,miR-17,Schizophrenia,22228753,1
We first demonstrated that MEG3 expression was markedly decreased in glioma tissues compared with adjacent normal tissues.,MEG3,glioma,22234798,1
miR-122 regulates p53/Akt signalling and the chemotherapy-induced apoptosis in cutaneous T-cell lymphoma.,miR-122,lymphoma,22235305,1
"A de novo balanced t(2,6)(p15,p22.3) in a patient with West Syndrome disrupts a lnc-RNA,BX118339.",BX118339,West Syndrome,22245136,1
Loss of SHIP-1 protein expression in high-risk myelodysplastic syndromes is associated with miR-210 and miR-155.,SHIP-1//miR-210//miR-155,myelodysplastic syndrome,22249254,1
"MiR-663, a microRNA targeting p21(WAF1/CIP1), promotes the proliferation and tumorigenesis of nasopharyngeal carcinoma.",MiR-663a,nasopharyngeal carcinoma,22249270,1
miR-21 inhibitor sensitizes human OSCC(oral squamous cell carcinoma) cells to cisplatin.,miR-21,oral squamous cell carcinoma,22249446,1
"let-7a-2, 7a-3, 7d, 7f-2 downregulated in breast cancer",let-7a-2//let-7a-3//let-7d//let-7f-2,breast cancer,22251626,1
Loss of brain-enriched miR-124 enhances the stem-like traits and invasiveness of glioma cells.,miR-124,glioma,22253443,1
"In this study,we identified frequent upregulation of miR-196a and lincRNA HOTAIR in high-risk gastrointestinal stromal tumors (GIST).",miR-196a//HOTAIR,gastrointestinal stromal tumors,22258453,1
Epstein-Barr virus latent membrane protein-1 protects B-cell lymphoma from rituximab-induced apoptosis through miR-155-mediated Akt activation and up-regulation of Mcl-1.,miR-155,lymphoma,22268450,1
Over-expression of miR-145 enhances the effectiveness of HSVtk gene therapy for malignant glioma.,miR-145,glioma,22269208,1
MiR-221 promotes cardiac hypertrophy in vitro through the modulation of p27 expression.,MiR-221,hypertrophy,22275134,1
miR-181a*: downregulated during human leukemic HL-60 cell differentiation induced by 4-hydroxynonenal,miR-181a*,leukemia,22285729,1
"Levels of miR-21 and let-7a microRNA were significantly higher in cholesteatoma tissue compared with normal skin, especially in paediatric patients.",miR-21//let-7a,cholesteatoma,22289526,1
Loss of miR-133a expression associated with poor survival of breast cancer and restoration of miR-133a expression inhibited breast cancer cell growth and invasion.,miR-133a,breast cancer,22292984,1
miR-221/222 is the regulator of Cx43 expression in human glioblastoma cells.,miR-221/222//Cx43,glioblastoma,22294051,1
miR-200b is involved in intestinal fibrosis of Crohn's disease.,miR-200b,Crohn's disease,22294131,1
"Serum miR-16, miR-25, miR-222 and miR-324-3p that were consistently differentially expressed between breast cancer cases and controls.",miR-16//miR-25//miR-222//miR-324-3p,breast cancer,22298638,1
miR-125b and miR-146a regulate Complement Factor H (CFH) in Alzheimer's Disease (AD) Brain.,miR-125b and miR-146a,Alzheimer's disease,22302353,1
"The authors propose miR-31 and -375 as novel candidate microRNAs specifically associated with early- and late-stage malignant progression, respectively, in Barrett's esophagus.",miR-31//miR-375,Barrett's esophagus,22302717,1
The levels of miRNAs in normal lung tissue and lung tumors were compared; miR-27b and miR-134 levels were significantly lower in the tumors than normal tissue (3.64 ± 4.02 versus 9.75 ± 6.58 and 0.64 ± 0.75 versus 1.48 ± 1.39).,miR-27b//miR-134,lung cancer,22306127,1
MiR-205 determines the radioresistance of human nasopharyngeal carcinoma by directly targeting PTEN.,MiR-205,nasopharyngeal carcinoma,22306986,1
Histone deacetylase inhibition in colorectal cancer cells reveals competing roles for members of the oncogenic miR-17-92 cluster.,miR-17-92,colorectal cancer,22308110,1
Downregulated expression of hsa-miR-181c in Fanconi anemia patients: implications in TNF-α regulation and proliferation of hematopoietic progenitor cells.,hsa-miR-181c,Fanconi anemia,22310912,1
MiR-135a targets JAK2 and inhibits gastric cancer cell proliferation.,MiR-135a,gastric cancer,22310976,1
These findings demonstrate the importance of miR-1 in cardiac function and in the pathogenesis of heart failure via Sorcin-dependent calcium homeostasis.,miR-1,heart failure,22326846,1
"Progestin treatment decreases miR-29, thereby relieving repression of one of its direct targets, the gene encoding ATPase, Na(+)/K(+) transporting, beta 1 polypeptide (ATP1B1). ATP1B1 serves to limit migration and invasion in breast cancer cells. Lastly, the authors demonstrate that PR itself is regulated by a progestin-upregulated miRNA, miR-513a-5p, providing a novel mechanism for tight control of PR protein expression.",miR-29a,breast cancer,22330642,1
"miR-124, miR-147 and miR-193a-3p are three novel tumor suppressors that co-target EGFR-driven cell-cycle network proteins and inhibit cell-cycle progression and proliferation in breast cancer.",miR-124//miR-147//miR-193a-3p,Breast cancer,22333974,1
Regulation of p14ARF expression by miR-24: a potential mechanism compromising the p53 response during retinoblastoma development.,p14ARF//miR-24,retinoblastoma,22336108,1
miRNA-141 is a novel regulator of BMP-2-mediated calcification in aortic stenosis.,miRNA-141,aortic stenosis,22336757,1
Insulin-like Growth Factor 2/H19 Methylation at Birth and Risk of Overweight and Obesity in Children.,H19,Obesity,22341586,1
MiR-196a Is Up-regulated in Gastric cancer and Promotes Cell proliferation by Down-regulating p27kip1.,MiR-196a,Gastric cancer,22343731,1
Microarray analysis showed that serum miR-297 and miR-574-5p were differentially expressed in sepsis survivors and nonsurvivors.,miR-297,sepsis,22344312,1
"Inhibition of mir-31 in aspc-1 and hpaf-ii pancreatic cancer cells with high endogenous expression and forced expression of miR-31 in MIA PaCa-2 with low endogenous levels led to reduced cell proliferation, migration, and invasion.",mir-31//miR-31,pancreatic cancer,22344686,1
"Consistent with the RNA-seq results,PCA3,FR0348383 and MALAT1 overexpression was found in 80% (32/40),72.5% (29/40),and 82.5% (33/40) of the prostate cancers respectively,whereas decreased FR0257520 expression was found in 82.5% (33/40) of the prostate cancers.",PCA3//FR0348383//MALAT1,prostate cancers,22349460,1
MiR-155 is a liposarcoma oncogene that targets casein kinase-1α and enhances β-catenin signaling.,MiR-155,liposarcoma,22350414,1
MicroRNA Let-7i is a Promising Serum Biomarker for Blast Induced Traumatic Brain Injury.,Let-7i,Brain Injuries,22352906,1
Ursolic Acid Inhibits Proliferation and Induces Apoptosis in Human Glioblastoma Cell Lines U251 by Suppressing TGF-beta1/miR-21 /PDCD4 Pathway.,miR-21,Glioblastoma,22353043,1
miR-196b directly targets both HOXA9/MEIS1 oncogenes and FAS tumour suppressor in MLL-rearranged leukaemia.,miR-196b,leukemia,22353710,1
miR-196a Downregulation Increases the Expression of Type I and III Collagens in Keloid Fibroblasts.,miR-196a,Keloid,22358059,1
MiR-138 induces cell cycle arrest by targeting cyclin D3 in hepatocellular carcinoma.,MiR-138,hepatocellular carcinoma,22362728,1
"Additionally,the relative ratio of SRA/SRAP expression differs in breast cancer tumor cells,with higher recovery rates for patients for whom SRAP is overexpressed.",SRA//SRAP,breast cancer,22362738,1
MicroRNA 146a (miR-146a) Is Over-Expressed during Prion Disease and Modulates the Innate Immune Response and the Microglial Activation State.,MicroRNA 146a//miR-146a,Prion disease,22363497,1
Oncomir miR-125b regulates hematopoiesis by targeting the gene Lin28A.,miR-125b,hematopoiesis,22366319,1
